Date,Open,High,Low,Close,Volume,Adj Close
2015-02-20,17.20,17.40,16.50,16.55,2243600,16.55
2015-02-19,16.50,16.70,16.00,16.30,1647500,16.30
2015-02-18,15.55,16.70,15.45,16.40,2152500,16.40
2015-02-17,15.50,15.50,15.50,15.50,000,15.50
2015-02-16,15.70,15.75,15.45,15.50,766800,15.50
2015-02-13,15.40,15.55,15.30,15.40,549000,15.40
2015-02-12,15.55,15.75,15.20,15.30,744200,15.30
2015-02-11,15.20,15.85,15.15,15.45,948200,15.45
2015-02-10,15.10,15.45,14.90,15.15,600400,15.15
2015-02-09,15.25,15.50,15.00,15.05,645300,15.05
2015-02-06,15.55,15.70,15.30,15.35,755800,15.35
2015-02-05,16.05,16.20,15.55,15.70,741200,15.70
2015-02-04,16.25,16.35,15.85,15.95,1028600,15.95
2015-02-03,16.45,16.50,16.00,16.10,693500,16.10
2015-02-02,16.40,16.60,16.20,16.30,548700,16.30
2015-01-30,16.40,16.75,16.20,16.30,1171400,16.30
2015-01-29,16.65,16.75,16.15,16.35,640400,16.35
2015-01-28,17.40,17.60,16.40,16.50,2434100,16.50
2015-01-27,15.80,17.20,15.60,17.05,1975100,17.05
2015-01-26,15.70,15.70,15.70,15.70,000,15.70
2015-01-23,16.20,16.25,15.65,15.70,653800,15.70
2015-01-22,16.30,16.45,15.90,16.00,1440500,16.00
2015-01-21,15.80,16.30,15.80,16.15,1990700,16.15
2015-01-20,15.70,16.00,15.65,15.75,530800,15.75
2015-01-19,15.70,16.15,15.70,15.80,944500,15.80
2015-01-16,15.70,16.45,15.45,15.80,1579100,15.80
2015-01-15,15.75,16.00,15.65,15.75,791200,15.75
2015-01-14,16.20,16.25,15.60,15.70,1141800,15.70
2015-01-13,16.25,16.35,15.85,16.10,1111600,16.10
2015-01-12,16.00,16.45,15.80,16.25,1504100,16.25
2015-01-09,15.70,16.00,15.55,15.70,1028400,15.70
2015-01-08,15.65,15.85,15.55,15.65,860400,15.65
2015-01-07,15.85,16.00,15.30,15.50,1042500,15.50
2015-01-06,15.80,16.45,15.40,15.60,1801900,15.60
2015-01-05,15.65,15.95,15.60,15.85,852900,15.85
2015-01-02,15.55,15.90,15.55,15.65,1423600,15.65
2015-01-01,15.35,15.70,15.20,15.55,556100,15.55
2014-12-31,15.00,15.50,15.00,15.30,692800,15.30
2014-12-30,15.55,15.65,15.10,15.20,763000,15.20
2014-12-29,15.50,15.75,15.40,15.45,660200,15.45
2014-12-26,15.50,15.60,15.35,15.45,800400,15.45
2014-12-25,15.50,15.50,15.50,15.50,000,15.50
2014-12-24,15.40,15.55,15.35,15.50,651500,15.50
2014-12-23,15.40,15.70,15.25,15.40,1023100,15.40
2014-12-22,15.30,15.60,15.20,15.50,865600,15.50
2014-12-19,16.35,16.40,15.25,15.35,1392700,15.35
2014-12-18,15.85,16.45,15.85,16.10,1012600,16.10
2014-12-17,15.60,15.85,15.10,15.45,1569100,15.45
2014-12-16,16.35,16.35,15.50,15.60,1299000,15.60
2014-12-15,16.60,16.80,16.25,16.35,915200,16.35
2014-12-12,17.55,17.85,16.50,16.75,1702400,16.75
2014-12-11,18.05,18.70,17.45,17.55,3289800,17.55
2014-12-10,15.90,17.00,15.85,16.85,1816800,16.85
2014-12-09,16.30,16.75,15.85,16.05,929400,16.05
2014-12-08,16.75,16.85,16.40,16.45,412900,16.45
2014-12-05,16.80,17.00,16.55,16.65,495000,16.65
2014-12-04,16.90,17.05,16.55,16.80,650500,16.80
2014-12-03,16.70,17.05,16.60,16.80,490100,16.80
2014-12-02,16.80,16.90,16.35,16.75,1017200,16.75
2014-12-01,17.35,17.35,16.45,16.55,543500,16.55
2014-11-28,16.75,17.20,16.70,16.85,1027000,16.85
2014-11-27,17.05,17.35,16.90,16.95,945000,16.95
2014-11-26,16.95,17.55,16.95,17.10,921800,17.10
2014-11-25,17.45,17.85,16.80,17.05,1191400,17.05
2014-11-24,17.70,18.20,17.20,17.45,1614500,17.45
2014-11-21,18.30,18.35,17.60,17.70,1289300,17.70
2014-11-20,19.20,19.20,18.10,18.25,1702100,18.25
2014-11-19,19.90,20.40,19.15,19.35,2770600,19.35
2014-11-18,18.70,19.75,18.70,19.35,4336600,19.35
2014-11-17,17.70,18.45,17.45,18.05,1404100,18.05
2014-11-14,18.25,18.45,17.55,17.65,1842100,17.65
2014-11-13,17.45,18.80,17.20,18.25,5014100,18.25
2014-11-12,17.50,18.00,17.10,17.60,3722300,17.60
2014-11-11,17.40,17.55,17.05,17.35,759700,17.35
2014-11-10,17.50,17.75,17.10,17.30,535900,17.30
2014-11-07,17.95,18.05,17.35,17.40,1040800,17.40
2014-11-06,17.95,17.95,17.95,17.95,000,17.95
2014-11-05,17.60,18.50,17.60,17.95,2362900,17.95
2014-11-04,17.65,17.65,17.65,17.65,000,17.65
2014-11-03,17.10,17.80,17.00,17.65,1367300,17.65
2014-10-31,16.70,17.25,16.70,17.05,787900,17.05
2014-10-30,16.80,16.95,16.55,16.70,684600,16.70
2014-10-29,17.05,17.15,16.65,16.80,630500,16.80
2014-10-28,17.00,17.25,16.90,17.00,547700,17.00
2014-10-27,16.70,17.20,16.60,16.90,1214700,16.90
2014-10-24,16.45,16.45,16.45,16.45,000,16.45
2014-10-23,16.45,16.45,16.45,16.45,000,16.45
2014-10-22,16.25,16.75,16.20,16.45,1075500,16.45
2014-10-21,16.15,16.45,15.95,16.15,607600,16.15
2014-10-20,16.50,16.50,15.85,16.05,914800,16.05
2014-10-17,15.90,16.00,15.55,15.70,1006800,15.70
2014-10-16,16.35,16.45,15.75,15.90,801000,15.90
2014-10-15,16.30,16.30,16.30,16.30,000,16.30
2014-10-14,16.65,16.70,16.25,16.30,589300,16.30
2014-10-13,17.00,17.00,16.55,16.65,553400,16.65
2014-10-10,17.10,17.15,16.55,16.65,767600,16.65
2014-10-09,16.85,17.15,16.85,16.95,1039000,16.95
2014-10-08,16.40,17.15,16.25,16.75,1479200,16.75
2014-10-07,16.30,16.65,16.15,16.35,688100,16.35
2014-10-06,16.15,16.15,16.15,16.15,000,16.15
2014-10-03,16.15,16.15,16.15,16.15,000,16.15
2014-10-02,16.15,16.15,16.15,16.15,000,16.15
2014-10-01,15.95,16.70,15.95,16.15,1672300,16.15
2014-09-30,16.25,16.45,15.95,16.10,1233700,16.10
2014-09-29,16.75,16.75,16.00,16.30,809800,16.30
2014-09-26,16.30,16.40,15.65,16.20,1117900,16.20
2014-09-25,16.85,17.15,16.10,16.35,987700,16.35
2014-09-24,17.30,17.30,16.50,16.80,1037100,16.80
2014-09-23,18.00,18.05,17.05,17.15,1348400,17.15
2014-09-22,17.75,18.20,17.70,17.90,547800,17.90
2014-09-19,17.95,18.20,17.70,17.80,848800,17.80
2014-09-18,17.95,18.20,17.70,17.85,777800,17.85
2014-09-17,17.95,18.25,17.60,17.85,822100,17.85
2014-09-16,18.50,18.65,17.60,17.75,1170800,17.75
2014-09-15,18.60,18.70,18.10,18.50,801900,18.50
2014-09-12,19.00,19.00,18.35,18.45,1373800,18.45
2014-09-11,18.70,19.45,18.50,19.10,2022500,19.10
2014-09-10,18.20,18.85,17.90,18.65,1225600,18.65
2014-09-09,18.60,18.65,18.10,18.20,978900,18.20
2014-09-08,17.75,18.75,17.55,18.50,2081500,18.50
2014-09-05,18.20,18.20,17.50,17.85,1619400,17.85
2014-09-04,18.70,18.80,18.10,18.20,1483000,18.20
2014-09-03,19.35,19.50,18.70,18.75,1284000,18.75
2014-09-02,19.50,19.70,19.00,19.10,1296600,19.10
2014-09-01,19.60,19.85,19.25,19.35,909800,19.35
2014-08-29,19.45,19.45,19.45,19.45,000,19.45
2014-08-28,19.75,19.85,19.10,19.45,1138100,19.45
2014-08-27,20.00,20.05,19.55,19.70,588300,19.70
2014-08-26,20.25,20.25,19.50,19.80,778500,19.80
2014-08-25,21.30,21.45,20.05,20.20,1018900,20.20
2014-08-22,20.30,21.75,20.10,21.15,3173200,21.15
2014-08-21,20.70,20.80,20.10,20.25,641900,20.25
2014-08-20,21.05,21.05,20.20,20.45,474400,20.45
2014-08-19,21.50,21.50,20.80,20.95,504600,20.95
2014-08-18,21.00,21.55,20.95,21.35,506100,21.35
2014-08-15,21.20,21.20,21.20,21.20,000,21.20
2014-08-14,20.20,21.50,19.55,21.20,1273100,21.20
2014-08-13,20.60,20.90,19.25,19.90,757600,19.90
2014-08-12,20.75,21.30,20.55,20.90,799500,20.90
2014-08-11,21.55,21.80,20.45,20.65,658300,20.65
2014-08-08,22.00,22.10,21.25,21.35,703100,21.35
2014-08-07,23.00,23.00,22.25,22.35,544600,22.35
2014-08-06,23.00,23.30,22.55,22.80,619100,22.80
2014-08-05,22.50,23.10,22.30,22.80,611700,22.80
2014-08-04,22.65,22.80,22.15,22.45,489300,22.45
2014-08-01,22.55,23.35,22.35,22.50,607000,22.50
2014-07-31,22.30,23.40,22.30,22.90,967200,22.90
2014-07-30,22.65,22.80,22.25,22.50,425600,22.50
2014-07-29,22.80,22.80,22.80,22.80,000,22.80
2014-07-28,23.30,23.50,22.55,22.80,739600,22.80
2014-07-25,24.40,24.40,23.00,23.30,858900,23.30
2014-07-24,24.35,25.00,24.25,24.30,1265900,24.30
2014-07-23,24.00,24.30,23.65,24.30,676000,24.30
2014-07-22,24.15,24.40,23.70,23.85,454600,23.85
2014-07-21,24.55,24.80,24.10,24.20,503900,24.20
2014-07-18,24.30,24.40,23.70,24.25,607600,24.25
2014-07-17,24.40,24.80,24.15,24.25,680300,24.25
2014-07-16,24.40,24.60,23.80,24.40,940600,24.40
2014-07-15,23.30,24.20,23.30,24.05,854000,24.05
2014-07-14,23.45,23.60,22.80,23.15,856500,23.15
2014-07-11,24.75,25.25,23.30,23.50,984000,23.50
2014-07-10,25.15,25.80,24.20,24.75,1958200,24.75
2014-07-09,26.15,26.15,24.75,25.00,1185000,25.00
2014-07-08,27.75,27.90,25.65,26.00,1184000,26.00
2014-07-07,26.90,28.10,26.85,27.60,1355600,27.60
2014-07-04,27.15,27.50,26.70,26.90,1186600,26.90
2014-07-03,27.85,27.90,27.05,27.15,368900,27.15
2014-07-02,28.10,28.45,27.65,27.75,1084600,27.75
2014-07-01,28.05,28.60,27.70,28.00,1577900,28.00
2014-06-30,27.55,28.15,27.55,27.85,990500,27.85
2014-06-27,28.55,28.75,27.35,27.45,2081200,27.45
2014-06-26,29.00,29.15,28.20,28.35,854800,28.35
2014-06-25,29.95,29.95,28.80,29.00,1293700,29.00
2014-06-24,30.50,31.10,29.55,29.80,4189400,29.80
2014-06-23,27.25,30.10,27.25,29.40,7479500,29.40
2014-06-20,26.55,28.25,26.25,26.65,2156300,26.65
2014-06-19,27.40,27.90,26.30,26.45,1112900,26.45
2014-06-18,28.55,28.55,26.70,27.45,2254700,27.45
2014-06-17,27.00,28.40,26.90,28.20,2185400,28.20
2014-06-16,26.00,27.05,25.15,26.80,2307900,26.80
2014-06-13,28.75,29.00,26.50,26.65,2441800,26.65
2014-06-12,29.00,29.85,28.20,28.65,1951900,28.65
2014-06-11,30.70,30.85,28.20,28.75,2232200,28.75
2014-06-10,30.60,31.55,30.40,30.60,3071800,30.60
2014-06-09,31.10,31.50,30.00,30.30,3588800,30.30
2014-06-06,28.25,31.80,28.25,30.80,9266700,30.80
2014-06-05,27.35,27.70,26.75,27.15,1450900,27.15
2014-06-04,28.10,28.10,26.95,27.30,2517300,27.30
2014-06-03,25.25,27.70,25.10,27.50,5592200,27.50
2014-06-02,25.05,25.30,24.70,24.90,673800,24.90
2014-05-30,24.50,25.35,24.25,24.70,967500,24.70
2014-05-29,24.75,25.50,24.30,24.45,1343600,24.45
2014-05-28,24.60,25.55,24.15,24.60,1209700,24.60
2014-05-27,24.60,24.80,23.30,24.45,1578300,24.45
2014-05-26,26.10,27.15,23.40,24.40,4008200,24.40
2014-05-23,26.15,27.30,25.55,25.75,5402300,25.75
2014-05-22,24.90,26.60,24.20,25.75,6098700,25.75
2014-05-21,23.60,24.85,22.85,24.25,3766700,24.25
2014-05-20,22.50,23.75,22.25,23.25,4919900,23.25
2014-05-19,21.70,22.40,21.70,22.25,1884200,22.25
2014-05-16,21.70,21.95,21.45,21.65,511300,21.65
2014-05-15,21.85,22.05,21.65,21.70,692900,21.70
2014-05-14,22.10,22.20,21.80,21.90,907900,21.90
2014-05-13,22.00,22.00,21.65,21.75,476100,21.75
2014-05-12,21.75,22.20,21.75,21.80,605600,21.80
2014-05-09,21.75,21.85,21.65,21.75,226000,21.75
2014-05-08,21.75,21.80,21.60,21.65,307100,21.65
2014-05-07,21.75,22.30,21.60,21.65,1404400,21.65
2014-05-06,21.85,21.90,21.65,21.70,519000,21.70
2014-05-05,21.70,21.95,21.70,21.80,262300,21.80
2014-05-02,22.00,22.15,21.65,21.75,439500,21.75
2014-05-01,21.80,21.80,21.80,21.80,000,21.80
2014-04-30,22.10,22.35,21.70,21.80,766000,21.80
2014-04-29,22.25,22.40,22.10,22.20,558500,22.20
2014-04-28,22.25,22.70,22.05,22.15,699200,22.15
2014-04-25,22.40,22.75,22.00,22.15,672800,22.15
2014-04-24,22.40,22.40,22.40,22.40,000,22.40
2014-04-23,22.05,22.90,21.95,22.40,1428500,22.40
2014-04-22,22.05,22.25,21.85,21.90,618400,21.90
2014-04-21,22.15,22.40,21.95,22.05,325700,22.05
2014-04-18,21.95,21.95,21.95,21.95,000,21.95
2014-04-17,21.90,22.20,21.80,21.95,526400,21.95
2014-04-16,21.70,22.00,21.70,21.75,481600,21.75
2014-04-15,22.10,22.30,21.70,21.80,736300,21.80
2014-04-14,21.80,21.80,21.80,21.80,000,21.80
2014-04-11,22.00,22.15,21.75,21.80,927900,21.80
2014-04-10,22.25,22.50,22.05,22.15,579900,22.15
2014-04-09,21.20,22.85,21.20,22.30,748400,22.30
2014-04-08,22.55,22.55,22.55,22.55,000,22.55
2014-04-07,23.20,23.30,22.15,22.55,745700,22.55
2014-04-04,21.75,23.65,21.75,22.80,4158900,22.80
2014-04-03,22.25,22.30,21.60,21.75,805600,21.75
2014-04-02,22.10,22.45,21.85,22.10,1487100,22.10
2014-04-01,21.70,22.35,21.55,21.95,1440300,21.95
2014-03-31,21.40,21.70,21.40,21.50,727000,21.50
2014-03-28,21.35,21.60,21.30,21.40,293400,21.40
2014-03-27,21.25,21.45,21.25,21.30,250900,21.30
2014-03-26,21.30,21.45,21.25,21.30,505500,21.30
2014-03-25,21.25,21.35,21.20,21.25,398900,21.25
2014-03-24,21.25,21.60,21.20,21.25,455400,21.25
2014-03-21,21.40,21.45,21.20,21.35,352100,21.35
2014-03-20,21.20,21.60,21.15,21.25,547200,21.25
2014-03-19,21.30,21.55,21.15,21.20,343800,21.20
2014-03-18,21.50,21.85,21.30,21.35,528400,21.35
2014-03-17,21.55,21.55,21.55,21.55,000,21.55
2014-03-14,21.40,21.70,21.30,21.55,707200,21.55
2014-03-13,21.30,22.40,21.10,21.40,3494600,21.40
2014-03-12,21.05,21.30,21.05,21.15,472400,21.15
2014-03-11,21.10,21.25,21.05,21.15,336400,21.15
2014-03-10,21.00,21.20,21.00,21.15,370200,21.15
2014-03-07,21.10,21.25,21.10,21.10,305900,21.10
2014-03-06,21.20,21.25,21.10,21.15,501900,21.15
2014-03-05,21.20,21.25,21.05,21.10,460300,21.10
2014-03-04,21.20,21.40,21.10,21.15,507900,21.15
2014-03-03,21.35,21.35,21.00,21.20,523300,21.20
2014-02-28,21.00,21.40,20.95,21.25,912400,21.25
2014-02-27,21.05,21.05,21.05,21.05,000,21.05
2014-02-26,21.25,21.65,21.00,21.05,737000,21.05
2014-02-25,21.10,21.25,21.00,21.10,680300,21.10
2014-02-24,21.00,21.25,20.85,21.05,920100,21.05
2014-02-21,20.40,21.50,20.25,21.10,8852500,21.10
2014-02-20,22.10,22.90,21.75,22.50,4230400,22.50
2014-02-19,20.60,21.85,20.60,21.70,1936000,21.70
2014-02-18,19.85,20.60,19.80,20.45,543000,20.45
2014-02-17,19.60,20.20,19.35,19.85,584600,19.85
2014-02-14,20.20,20.35,19.45,19.75,448000,19.75
2014-02-13,20.65,20.80,19.85,20.15,1492600,20.15
2014-02-12,20.25,20.30,19.55,19.65,336600,19.65
2014-02-11,19.90,20.55,19.90,20.30,518700,20.30
2014-02-10,20.60,20.60,19.60,19.70,522200,19.70
2014-02-07,20.40,20.75,20.20,20.40,729200,20.40
2014-02-06,20.00,20.40,19.85,20.05,602000,20.05
2014-02-05,19.35,20.20,19.05,20.05,826500,20.05
2014-02-04,19.00,19.55,18.75,19.45,581100,19.45
2014-02-03,18.60,19.75,18.50,19.25,607200,19.25
2014-01-31,18.70,19.10,18.40,18.50,947900,18.50
2014-01-30,18.40,18.75,18.15,18.50,579300,18.50
2014-01-29,19.10,19.45,18.45,18.55,801500,18.55
2014-01-28,19.10,19.30,18.70,18.85,405100,18.85
2014-01-27,19.70,19.70,18.75,18.90,512900,18.90
2014-01-24,20.00,20.40,19.80,19.95,668900,19.95
2014-01-23,20.65,20.85,19.70,20.35,608100,20.35
2014-01-22,20.75,20.95,20.50,20.60,280800,20.60
2014-01-21,21.00,21.20,20.55,20.65,318800,20.65
2014-01-20,21.25,21.25,20.80,20.90,273500,20.90
2014-01-17,21.35,21.50,20.80,21.15,1026700,21.15
2014-01-16,22.15,22.45,21.20,21.35,1697300,21.35
2014-01-15,22.00,22.40,21.60,21.90,2044800,21.90
2014-01-14,20.50,21.95,20.40,21.80,1682400,21.80
2014-01-13,21.15,21.45,20.60,20.80,998000,20.80
2014-01-10,21.50,21.55,20.50,20.65,990800,20.65
2014-01-09,21.30,22.30,21.20,21.50,1255800,21.50
2014-01-08,22.15,22.40,21.00,21.25,2065100,21.25
2014-01-07,20.30,22.40,19.95,21.85,5579600,21.85
2014-01-06,19.10,19.95,18.95,19.70,1187400,19.70
2014-01-03,19.15,19.30,18.70,19.05,694600,19.05
2014-01-02,19.95,20.15,19.20,19.25,853600,19.25
2014-01-01,20.15,20.30,19.85,19.95,509400,19.95
2013-12-31,20.15,20.40,19.95,20.10,462800,20.10
2013-12-30,20.00,20.25,19.90,20.00,417100,20.00
2013-12-27,20.25,20.60,20.00,20.10,574400,20.10
2013-12-26,20.00,20.75,19.95,20.25,1386100,20.25
2013-12-25,19.90,19.90,19.90,19.90,000,19.90
2013-12-24,19.85,20.20,19.85,19.90,394700,19.90
2013-12-23,20.15,20.35,19.75,19.80,774700,19.80
2013-12-20,20.00,20.25,19.70,19.95,1028200,19.95
2013-12-19,20.00,20.15,19.70,19.75,933100,19.75
2013-12-18,20.00,20.15,19.65,19.75,700000,19.75
2013-12-17,20.10,20.35,19.60,19.75,1330200,19.75
2013-12-16,20.75,20.75,19.90,20.05,422400,20.05
2013-12-13,20.60,21.05,20.50,20.60,442500,20.60
2013-12-12,21.25,21.45,20.85,20.95,330800,20.95
2013-12-11,21.00,21.70,20.80,21.30,654300,21.30
2013-12-10,21.55,21.65,21.00,21.10,299600,21.10
2013-12-09,22.80,22.80,21.40,21.50,982000,21.50
2013-12-06,21.55,22.45,21.50,22.00,2253600,22.00
2013-12-05,21.95,21.95,20.75,21.10,982500,21.10
2013-12-04,21.50,22.20,21.20,21.40,2371000,21.40
2013-12-03,20.10,21.50,19.95,21.25,2716500,21.25
2013-12-02,20.80,20.90,20.10,20.20,636600,20.20
2013-11-29,20.95,20.95,20.50,20.55,587900,20.55
2013-11-28,20.85,21.45,20.15,21.00,1848000,21.00
2013-11-27,20.50,21.10,20.40,20.70,873100,20.70
2013-11-26,21.15,21.40,20.15,20.35,974200,20.35
2013-11-25,20.85,21.15,20.55,20.95,837200,20.95
2013-11-22,20.85,21.10,20.00,20.35,1285400,20.35
2013-11-21,21.30,21.90,20.35,20.50,2215400,20.50
2013-11-20,20.10,22.40,20.10,21.40,5071100,21.40
2013-11-19,20.25,20.40,19.70,19.80,662700,19.80
2013-11-18,20.40,21.20,20.10,20.25,413100,20.25
2013-11-15,20.40,20.40,20.40,20.40,000,20.40
2013-11-14,19.85,20.50,19.75,20.40,925800,20.40
2013-11-13,20.90,21.00,19.35,19.75,890900,19.75
2013-11-12,22.30,22.30,20.95,21.10,810100,21.10
2013-11-11,22.10,22.55,21.75,21.85,584300,21.85
2013-11-08,22.45,22.70,22.05,22.25,666600,22.25
2013-11-07,22.55,23.15,22.25,22.45,1260500,22.45
2013-11-06,22.80,22.95,22.15,22.40,783000,22.40
2013-11-05,23.30,23.90,22.65,22.85,1829700,22.85
2013-11-04,22.40,22.40,22.40,22.40,000,22.40
2013-11-01,22.85,23.00,22.25,22.40,1548100,22.40
2013-10-31,22.00,23.20,21.60,22.65,3420400,22.65
2013-10-30,22.50,22.90,21.80,22.20,1631800,22.20
2013-10-29,24.25,24.35,22.50,22.80,2205500,22.80
2013-10-28,23.70,24.50,23.25,24.15,2124700,24.15
2013-10-25,23.40,23.85,22.70,23.25,1774600,23.25
2013-10-24,23.10,24.40,22.75,23.25,3108300,23.25
2013-10-23,21.80,23.20,21.20,22.85,2264100,22.85
2013-10-22,19.55,22.40,19.55,21.50,4397900,21.50
2013-10-21,19.20,19.70,19.10,19.50,1073700,19.50
2013-10-18,19.00,19.45,18.75,19.05,795200,19.05
2013-10-17,18.85,19.85,18.65,18.80,990500,18.80
2013-10-16,18.85,18.85,18.85,18.85,000,18.85
2013-10-15,19.50,19.65,18.60,18.85,471500,18.85
2013-10-14,19.45,19.75,19.25,19.40,190500,19.40
